MOF ref,CO2 BE kJ/mol,H2O BE kJ/mol,N2 BE kJ/mol,BE(H2O)-BE(CO2)
KADBAV,-42.93278,-56.60556,-24.6202,-13.67278
YARKOT,-45.44914,-59.13864,-18.15374,-13.6895
ECORIX,-59.9621,-73.67668,-49.75454,-13.71458
TULLIW,-45.38226,-59.10102,-19.30324,-13.71876
HOGJOD,-45.98,-59.74474,-23.94304,-13.76474
PUGHUW,-51.13394,-64.9154,-26.94846,-13.78146
FOHCIP,-34.58532,-48.36678,-17.6187,-13.78146
ABIYIV,-39.44248,-53.2323,-21.63986,-13.78982
CAGXIU,-39.03702,-52.85192,-20.6492,-13.8149
FUNQEM,-38.66082,-52.5008,-21.71928,-13.83998
PEYPIU,-49.84232,-63.68648,-23.71732,-13.84416
GIKMOD,-43.04982,-56.90652,-27.30376,-13.8567
XOMCUZ,-30.81914,-44.68002,-16.5319,-13.86088
ETESIG,-41.13538,-54.99626,-21.86976,-13.86506
DUMXIU,-44.31218,-58.17724,-24.23982,-13.86506
UDICER,-42.55658,-56.43836,-24.98804,-13.8776
XUHCAG,-35.26666,-49.1568,-21.14662,-13.89014
DACXUB,-37.41518,-51.31368,-31.94774,-13.8985
BENXOJ,-37.94604,-51.86962,-22.74338,-13.9194
CAHQAG,-46.64044,-60.5682,-30.94036,-13.92776
YASLUA,-34.00012,-47.93206,-17.08366,-13.93612
QOPHEI,-38.09234,-52.03264,-15.35314,-13.94448
QUSSOO,-43.33406,-57.30362,-27.19508,-13.96956
RUGJAG,-50.7452,-64.7482,-21.22186,-14.003
WIVVII,-35.19978,-49.20278,-20.16014,-14.00718
HEGCEB,-29.4272,-43.4511,-15.76696,-14.02808
FIFPOA,-38.76114,-52.7934,-16.35634,-14.03226
TIKMEH,-39.88556,-53.922,-23.85526,-14.03644
REJLEY,-39.3129,-53.3577,-24.00992,-14.0448
SIQQEO,-55.72776,-69.77256,-35.39206,-14.0448
EWETIL,-33.97922,-48.0282,-18.24988,-14.04898
TUMDEM,-37.8708,-51.94486,-21.12572,-14.07406
LEGGIO,-35.7599,-49.86322,-19.02318,-14.10332
REZVAU,-39.88974,-54.00978,-17.60616,-14.12004
GOYXAV,-42.3643,-56.52196,-32.20272,-14.15766
SUVZUG,-35.70974,-49.87994,-23.40382,-14.1702
ESEQUO,-46.39382,-60.58074,-26.1877,-14.1911
TEDLUK,-42.42282,-56.61392,-27.11566,-14.1911
OYEBIE,-39.71,-53.97216,-24.41538,-14.26216
HOTFED,-42.83246,-57.0988,-18.13702,-14.27052
RUPGAM,-47.22146,-61.49198,-25.57324,-14.2747
AVESOL,-33.1056,-47.3803,-18.50068,-14.2747
OLOKEF,-36.74638,-51.02944,-19.01064,-14.28306
ILIFOY,-52.19148,-66.47454,-41.82508,-14.28306
OGAGAF,-28.82946,-43.1376,-16.98752,-14.30814
BUQWER,-38.10906,-52.42138,-20.61576,-14.30814
JIVHIG,-37.39846,-51.72332,-20.74952,-14.32068
MIYWIB,-28.56612,-42.89516,-15.85056,-14.32904
VITHOX,-40.20324,-54.54064,-22.29612,-14.34158
GOYXOJ,-41.22316,-55.58564,-28.75422,-14.3583
PUFTUH,-31.5172,-45.87968,-19.81738,-14.36248
APEBED,-37.87498,-52.2709,-20.30644,-14.39592
PUQHIT,-35.42132,-49.83396,-25.56488,-14.40846
UKAKOI,-38.04636,-52.459,-19.16948,-14.41264
SUBGIH,-37.66598,-52.0828,-22.3212,-14.41682
RUFMUA,-63.02186,-77.45122,-37.05152,-14.42936
OCINIA,-40.88876,-55.32648,-19.34504,-14.43772
DOMKEX,-40.55018,-54.99626,-20.05982,-14.44608
DEPXIG,-38.63574,-53.09018,-21.25948,-14.45862
ACIBIY,-32.36992,-46.8369,-17.74828,-14.46698
YELYOE,-50.0555,-64.52666,-26.2922,-14.47116
LECGAD,-39.24184,-53.72972,-20.86238,-14.48788
ROSKER,-40.1071,-54.59916,-18.2248,-14.49206
NARTIL,-34.55606,-49.0523,-19.42028,-14.49624
BASSUL,-42.9286,-57.47082,-22.6556,-14.54222
RIBDAJ,-29.6362,-44.2035,-17.10874,-14.5673
OFAMUF,-31.46286,-46.03016,-17.02514,-14.5673
RUCSEP,-43.42602,-58.02258,-21.15498,-14.59656
QITDEE,-43.32988,-57.92644,-23.48324,-14.59656
ILOJEZ,-35.1956,-49.79634,-20.76206,-14.60074
YINCUV,-47.98222,-62.59968,-25.7697,-14.61746
XULCIR,-42.19292,-56.8271,-18.22062,-14.63418
BASTIA,-44.90992,-59.55246,-22.8646,-14.64254
LAVMAY,-47.7565,-62.40322,-21.81542,-14.64672
EHOJIW,-39.38814,-54.04322,-21.28038,-14.65508
DAMZEZ,-34.69818,-49.37416,-18.7055,-14.68016
QIVZEC,-35.58852,-50.27286,-20.89164,-14.68434
JADJOQ,-28.03526,-42.7614,-15.80876,-14.72614
KIDDOS,-44.11154,-58.84186,-23.0109,-14.73032
HEGNUD,-46.95812,-61.6968,-24.21474,-14.73868
TAJXIO03,-28.77094,-43.51798,-17.13382,-14.74704
TUDMEL,-37.54058,-52.30852,-21.43086,-14.76794
CIPCUB,-33.86636,-48.63848,-18.96466,-14.77212
EBIPOX,-28.18574,-42.95786,-15.85474,-14.77212
HISGAT,-38.84056,-53.61686,-24.18548,-14.7763
FEYZUF,-32.58728,-47.38448,-15.26536,-14.80138
WEMGAY,-39.76852,-54.59916,-23.54176,-14.83064
CUWVIB,-37.69106,-52.52588,-24.57004,-14.83064
HUCFAO,-64.06686,-78.91004,-27.0655,-14.84318
UYAMOY,-33.51942,-48.37514,-18.4547,-14.85572
KAFYAT,-48.19122,-63.04694,-19.32832,-14.85572
BONWIL,-43.15432,-58.02258,-20.32734,-14.86826
UQEGEE,-55.76956,-70.65454,-29.54842,-14.88498
YARYOF,-24.74142,-39.62222,-16.28528,-14.88498
DEKHEH,-29.0092,-43.89418,-17.79008,-14.88498
TAVSER,-43.60158,-58.48656,-29.89954,-14.88498
LICSUM,-50.90404,-65.79738,-22.24178,-14.89334
NAPZUB,-44.39996,-59.30166,-23.82182,-14.90588
YARVEV,-39.99006,-54.91266,-21.45176,-14.9226
RETVIW,-56.36312,-71.30662,-25.8951,-14.9435
QUSSII,-42.14694,-57.09044,-23.05688,-14.9435
YARYIZ,-25.94108,-40.89294,-12.59434,-14.95186
QUFXIZ,-54.08084,-69.09122,-25.3935,-15.0062
VAJTUX,-39.0621,-54.0892,-27.40826,-15.0271
WUDTIA,-98.20074,-113.2362,-67.16006,-15.03546
PUMNIV,-29.72398,-44.76362,-17.1171,-15.03546
CADPII,-27.52112,-42.64018,-17.15054,-15.11906
LETRUZ,-43.02056,-58.1438,-22.47586,-15.12324
REJLAU,-27.6925,-42.8241,-15.43674,-15.1316
PUMNOB,-27.82208,-42.95786,-16.15988,-15.13578
TOXHIZ,-39.51772,-54.6535,-19.06498,-15.13578
NOQKUB,-34.8612,-50.03042,-22.1331,-15.16922
YOPMAS,-43.43856,-58.61196,-20.1058,-15.1734
WECBAJ,-40.90548,-56.10814,-26.51374,-15.20266
XEJVOZ,-31.50466,-46.72822,-19.23218,-15.22356
UVEVEX,-31.73874,-46.97902,-22.2794,-15.24028
COVYIX,-43.19612,-58.46566,-25.289,-15.26536
TAYNEN,-36.47468,-51.76094,-19.53732,-15.28626
RAQVEM,-40.78426,-56.0747,-24.244,-15.29044
GIKMOD09,-42.3225,-57.6213,-26.80634,-15.2988
ZOYKEF,-42.5733,-57.90136,-25.707,-15.32806
ZNGLUD,-52.14132,-67.55298,-20.55724,-15.41166
IQINAZ,-45.35718,-60.78138,-25.4353,-15.4242
ZEDHIB,-39.25438,-54.68694,-21.30128,-15.43256
ANEPIT,-56.6181,-72.0632,-25.24302,-15.4451
ECOTOG,-5.4967,-20.96688,17.76918,-15.47018
ESAROH,-37.65344,-53.15288,-22.154,-15.49944
ISIMUT,-45.144,-60.6518,-21.109,-15.5078
PEPHOJ,-31.07412,-46.5861,-26.21696,-15.51198
HELCUY,-43.66428,-59.2097,-21.50192,-15.54542
BERFIP,-41.88778,-57.43738,-25.75298,-15.54542
NABCIE,-30.94036,-46.49414,-19.34086,-15.55378
YIZCAN,-39.93154,-55.54384,-22.4257,-15.60812
GAXQIH,-31.78472,-47.39702,-20.10162,-15.6123
UMUTUS,-59.2724,-74.8847,-30.89856,-15.61648
TUYFIE,-44.4334,-60.05406,-27.13656,-15.62066
LAZHUR,-38.09652,-53.72554,-22.06622,-15.62902
EJULUS,-35.74318,-51.38474,-20.45274,-15.64156
PACYIE,-22.30448,-37.9544,-5.434,-15.64992
ATUXIY,-40.65886,-56.31714,-20.36078,-15.65828
LUNJEL,-47.1504,-62.8672,-21.43086,-15.7168
EGATOW,-34.276,-50.00534,-16.6991,-15.72934
CIZMIJ,-45.60798,-61.39166,-21.23022,-15.78368
JUWBIO,-47.80666,-63.61542,-31.15354,-15.80876
HUXHIT,-43.4093,-59.2306,-23.6379,-15.82548
FOKGET,-32.98438,-48.84748,-15.72516,-15.8631
LUJBAV,-39.1457,-55.02134,-21.6942,-15.87564
YOMBEI,-41.22734,-57.13642,-22.16236,-15.91326
CESYEF,-29.0928,-45.00606,-14.14512,-15.91326
TUMROK,-43.054,-58.96726,-24.73306,-15.91326
TENLIJ,-38.90744,-54.85832,-18.97302,-15.9467
EFOTAV,-37.85826,-53.83422,-14.08242,-15.97596
XUWVUG,-31.34582,-47.33014,-17.14636,-15.98432
FEWQIJ,-33.87054,-49.85904,-20.49036,-15.99268
KEXPIO,-26.3758,-42.37266,-13.27568,-15.99686
QUDJIJ,-40.7968,-56.79784,-23.81346,-16.00522
KIYMEM01,-57.44156,-73.50112,-28.12722,-16.05956
LUSHAJ,-17.2007,-33.28116,18.38782,-16.08464
HOFMAS,-51.57284,-67.66584,-22.75174,-16.08882
NEHNEV,-39.6891,-55.803,-20.33988,-16.1139
OKELIB,-39.48428,-55.62326,-19.39938,-16.13898
TUYNEI,-34.68982,-50.83298,-18.81,-16.14734
BUCYAA,-42.00064,-58.18978,-23.72986,-16.18914
TOWLOI,-34.05028,-50.29376,-19.85082,-16.24348
GELVID,-65.65108,-81.91128,-45.82116,-16.2602
DITYAH,-29.0719,-45.36136,-22.3003,-16.28946
QEJYIP,-42.5733,-58.86276,-33.13486,-16.28946
VAQSEO,-40.86368,-57.1615,-19.80902,-16.29782
OREZAO,-31.7889,-48.12434,-19.01482,-16.33544
XOLYUS,-44.5797,-60.93604,-20.8373,-16.35634
EXIDEV,-39.34216,-55.70686,-22.05368,-16.3647
EXURUM,-37.65344,-54.0265,-20.54052,-16.37306
DORFUM,-41.2566,-57.63802,-24.06426,-16.38142
RAGYAB,-78.48786,-94.9069,-44.50028,-16.41904
RUGGOR,-49.87158,-66.31988,-19.5833,-16.44412
HIDBON,-42.14276,-58.59524,-21.05466,-16.45248
CAZGIT,-36.54156,-53.0024,-21.3807,-16.46502
CUYRUK,-37.3274,-53.80914,-20.22702,-16.48174
BASTAS,-42.73214,-59.25568,-22.45496,-16.51936
DAFTIQ,-43.23374,-59.79072,-28.6121,-16.55698
BURJOO,-34.79014,-51.34712,-19.50388,-16.55698
CAGLIF,-14.28306,-30.85258,-2.17778,-16.56952
PAMHES01,-43.45946,-60.07078,-21.6733,-16.61132
LODPOL,-34.60622,-51.21754,-20.27718,-16.61132
CUTGEF,-43.02474,-59.66114,-23.62536,-16.6364
REGLOG,-41.91704,-58.55344,-21.03376,-16.6364
JEBDOK,-38.65664,-55.385,-16.3229,-16.72836
HEBTAL,-43.16686,-59.90776,-21.43086,-16.73672
XULGUI,-37.56148,-54.30656,-33.05126,-16.74508
JOFGOC,-40.51256,-57.26182,-20.13088,-16.74926
GIRDUI,-35.75572,-52.51334,-20.3566,-16.75762
IXUREZ,-41.03088,-57.79268,-22.4675,-16.7618
BAFCAP,-47.41374,-64.20062,-23.826,-16.78688
JOPWUI,-41.34856,-58.13544,-23.37038,-16.79106
OTOROF,-40.65886,-57.44574,-25.13016,-16.79106
LUKREO,-42.02572,-58.83768,-29.5944,-16.81196
NEVGIE,-15.02292,-31.83906,2.5498,-16.81614
VANXUD03,-31.34164,-48.16196,-19.5833,-16.81614
ZEXKUK,-28.1314,-44.95172,-17.61034,-16.82032
BASTUM,-44.14498,-60.9653,-22.74756,-16.82032
YUCNEQ,-33.04708,-49.87158,-19.31578,-16.8245
QOJYEV,-41.69132,-58.52,-22.62216,-16.82868
USUBUG,-40.6923,-57.52934,-34.13388,-16.83704
XEQRAO,-39.2293,-56.08306,-21.43086,-16.85376
JITPOS,-36.67114,-53.53326,-19.37848,-16.8663
OCUMOR,-42.59002,-59.4814,-23.06942,-16.89138
AVESAW,-48.21212,-65.11604,-26.20442,-16.90392
TUMQOJ,-39.71836,-56.62646,-20.5656,-16.9081
AJOVEB,-53.83004,-70.7465,-33.61556,-16.91646
FODCEI,-36.94284,-53.95962,-23.00672,-17.01678
RUDQUD01,-34.53516,-51.5812,-14.70942,-17.04604
FOPBAP,-42.50224,-59.56082,-23.39128,-17.05858
XEJXER,-30.49728,-47.5684,-19.0608,-17.07112
LIWYEX,-22.35464,-39.44666,-16.66984,-17.09202
PERSEM,-86.0871,-103.19584,-26.42178,-17.10874
TEWGEJ01,-38.64828,-55.78628,-22.27522,-17.13382
FAKZUP,-42.53986,-59.74474,-24.21892,-17.20488
KETHEY01,-37.69106,-54.91266,-31.09502,-17.21742
KINKAV,-42.72796,-59.97464,-22.16654,-17.24668
PEQRUZ,-46.69478,-63.94982,-30.73972,-17.25086
PAKXIK,-45.98418,-63.23922,-22.99,-17.25504
ZETQIA,-41.44052,-58.72064,-26.68094,-17.28012
AQETIA,-41.97138,-59.2724,-19.1235,-17.30102
QOVGOY01,-36.48304,-53.78824,-30.38442,-17.3052
WEGFUL,-40.79262,-58.13962,-22.40898,-17.347
EXUHEM,-34.34706,-51.69824,-20.38586,-17.35118
INOSOV,-20.3357,-37.69106,-0.35112,-17.35536
QASYUH,-41.62026,-58.9798,-23.42472,-17.35954
CUWYUQ,-41.34438,-58.73736,-20.21866,-17.39716
OKILIE,-48.99796,-66.39512,-33.1892,-17.39716
TUMQUP,-45.42824,-62.85466,-24.12278,-17.42642
VUNNEZ,-26.19606,-43.65174,-12.13454,-17.45568
LODPUR,-48.07,-65.52986,-27.05714,-17.45986
LAZSIQ,-37.52386,-55.02134,-20.8582,-17.50166
FAVGUH,-37.49042,-54.99626,-20.0222,-17.50166
MIZZUS,-50.52784,-68.0922,-26.71856,-17.56436
OHAKIS,-41.54502,-59.11774,-22.09966,-17.57272
QUJRUK,-36.79654,-54.37762,-18.78492,-17.58108
PENZUE,-24.41538,-42.00064,-14.66762,-17.58526
SISQAO,-37.43608,-55.04224,-19.44536,-17.60616
EBISEQ,-40.65886,-58.26502,-23.39546,-17.60616
VATVUK,-30.77316,-48.39604,-22.93984,-17.62288
GIRGUL,-38.78204,-56.48434,-22.9064,-17.69812
COVPAG,-39.82704,-57.56278,-22.15818,-17.73156
VUQKUO,-42.6778,-60.47624,-24.17294,-17.79844
BIRMUM,-34.88628,-52.68472,-18.00744,-17.79844
KUHNEI,-41.31094,-59.11356,-21.34726,-17.80262
ECUTON,-37.79974,-55.61908,-24.06844,-17.81516
PEVXAQ,-41.63698,-59.45632,-23.18646,-17.81934
GOXMEN,-45.82952,-63.65304,-25.65266,-17.82352
RAVKEG,-36.88014,-54.72038,-19.44118,-17.84024
TAKZEN,-33.01364,-50.86224,-20.53634,-17.8486
UNIPAJ,-48.85166,-66.70444,-25.57742,-17.8486
LIVLUZ,-32.14002,-50.02206,-17.02932,-17.88204
ZILBAZ,-37.7663,-55.6985,-26.95264,-17.9322
UJAQOM,-40.14472,-58.08528,-18.86852,-17.94056
YOPQEB,-56.6181,-74.56284,-25.69028,-17.94474
CIFDOM,-35.5927,-53.54162,-19.26144,-17.9531
IFEYIB,-32.06478,-50.01788,-16.27692,-17.9531
IVEQAC,-35.8644,-53.8384,-19.02318,-17.974
VONSAU,-28.33622,-46.34366,-17.03768,-18.01162
AVERUP,-43.2212,-61.24954,-22.67232,-18.02834
RATDAS02,-32.7085,-50.75356,-18.72222,-18.04506
AZIXUD,-37.202,-55.2805,-19.40774,-18.0785
ELAFUT,-38.8949,-57.00684,-21.9241,-18.11194
WAJHIA,-34.02102,-52.13714,-20.49872,-18.11612
SESDEA01,-57.92226,-76.06346,-29.6362,-18.1412
UTIYED,-41.66624,-59.81998,-25.1636,-18.15374
GARLUJ,-35.21232,-53.36606,-19.18202,-18.15792
SEHZUB,-43.15014,-61.32478,-30.2005,-18.17464
DACZUF,-38.54378,-56.73932,-22.39226,-18.19554
EZESAF,-37.79556,-56.02872,-20.51126,-18.23316
UFEXOT,-32.17346,-50.41498,-18.87688,-18.24152
GIZVER,-44.3916,-62.63312,-18.29168,-18.2457
WEJSAH,-18.71386,-36.98046,-5.7684,-18.2666
GIXMUX,-38.06726,-56.33804,-18.19972,-18.27078
UVUGAV,-29.56514,-47.84846,-16.3229,-18.28332
QIRWAR,-35.96472,-54.24804,-18.22062,-18.28332
ZIYPUU,-43.61412,-61.91834,-41.2148,-18.30422
CDLGLU02,-43.76042,-62.06882,-16.38142,-18.3084
ISEQIH,-56.78948,-75.11042,-36.44542,-18.32512
FEVDER,-35.2792,-53.62104,-26.1041,-18.34602
IPINEC,-40.93056,-59.28494,-21.68584,-18.35438
NUZSAD,-40.72992,-59.10102,-31.21206,-18.3711
CICYIX,-63.27266,-81.65212,-18.183,-18.37946
XAPTEQ,-37.33576,-55.71522,-20.68682,-18.37946
WECSAZ01,-71.17704,-89.56486,-34.12134,-18.392
LIFWOO,-41.55756,-59.96628,-21.3598,-18.40872
SAJJOF,-40.95982,-59.37272,-21.18842,-18.4129
SEHTAB,-40.37044,-58.79588,-22.64724,-18.42544
ROJNEJ,-31.73038,-50.16,-18.83926,-18.42962
FIJDIM12,-44.2035,-62.6373,-29.0928,-18.43798
ATOBOC,-38.07144,-56.51778,-21.40578,-18.44634
UHISOU,-52.00338,-70.4748,-22.7183,-18.46724
DUXLEP,-45.95074,-64.43052,-26.79798,-18.47978
VEGXIQ01,-42.67362,-61.1534,-24.16458,-18.47978
TUYJII,-39.32544,-57.81358,-20.23538,-18.48814
ITIBIY,-41.31094,-59.80744,-24.18548,-18.4965
FURFIJ01,-47.93624,-66.44528,-32.24452,-18.50904
HUSQES,-43.72698,-62.24438,-21.04212,-18.5174
DOKHIV,-43.7019,-62.26528,-20.68264,-18.56338
BIVXEK,-38.8113,-57.3914,-19.80902,-18.58428
FAMHAE01,-42.29742,-60.90678,-20.37332,-18.60936
YUJNOH,-48.3835,-67.02212,-23.408,-18.63862
KILFUI,-35.7599,-54.43196,-24.03918,-18.67624
HIHJUF,-30.63522,-49.31146,-22.28358,-18.68042
ELOHOE,-41.41126,-60.09586,-24.33178,-18.6846
HAKCIG,-43.5556,-62.25692,-21.89484,-18.70132
EKEHUZ,-41.83762,-60.58492,-31.56318,-18.7473
MIFQEY,-51.04198,-69.78928,-20.15596,-18.7473
UNEBIZ,-45.54946,-64.29676,-25.1845,-18.7473
WUDTOG,-95.58824,-114.33972,-82.35436,-18.75148
RESQAJ,-38.15922,-56.9316,-21.97426,-18.77238
COWROX,-48.38768,-67.17678,-24.92534,-18.78492
KIDDIM,-45.08548,-63.88712,-22.19162,-18.80582
VOXQOQ,-34.65638,-53.49146,-18.80164,-18.83508
ETAXIH,-47.7983,-66.65428,-27.86388,-18.85598
QOMFAA,-30.94872,-49.81306,-23.08614,-18.86434
IKEBUV,-41.08104,-59.99136,-18.71804,-18.9145
OYIVIC,-38.23446,-57.16986,-22.28358,-18.9354
YUYBIF,-37.68688,-56.6808,-20.82058,-18.99392
KIFDIM,-35.56762,-54.5699,-21.82796,-19.00228
ADODII,-36.91776,-55.9284,-18.77238,-19.01064
TATPEM,-40.964,-59.99136,-23.36202,-19.02736
HOFSUS,-37.14348,-56.17084,-21.77362,-19.02736
MUSQIC,-39.4592,-58.49074,-21.58552,-19.03154
DEJROB,-47.96968,-67.00958,-29.24328,-19.0399
PENNUT,-32.4368,-51.52686,-18.82672,-19.09006
UTOTUT,-36.75474,-55.84898,-19.16112,-19.09424
COKXIL,-39.17078,-58.2692,-20.67846,-19.09842
LARPUS,-42.27234,-61.37912,-25.40604,-19.10678
MUPYUS,-35.1747,-54.28984,-14.80974,-19.11514
OVIZID,-41.92122,-61.0907,-24.72052,-19.17366
CISMEY,-48.32498,-67.50282,-29.11788,-19.18202
XEQGEH,-37.7036,-56.92324,-22.41316,-19.21546
UJAQEC,-51.42654,-70.65454,-26.2922,-19.228
RUGJEK,-54.12682,-73.36736,-21.16752,-19.24472
COWXOC,-37.36084,-56.6181,-19.8968,-19.25726
JUFZER,-50.7034,-69.9732,-24.71634,-19.26562
SUNJER,-47.7565,-67.03884,-44.35398,-19.28234
FIVYEP01,-39.70164,-58.98398,-20.38168,-19.28234
QOSXUS,-42.97458,-62.28618,-22.43406,-19.3116
DAWBOU,-33.97504,-53.30336,-19.19038,-19.3325
BAXSIE,-41.591,-60.94022,-19.5624,-19.34922
VONRUN,-38.1634,-57.5168,-19.64182,-19.3534
DEBGIA,-40.59616,-59.97464,-22.32956,-19.37848
PASKAX,-44.21604,-63.62378,-18.44634,-19.40774
UZIGOB,-45.81698,-65.22472,-25.1845,-19.40774
OVIZUP,-42.35176,-61.77204,-24.77486,-19.42028
HUXHEP,-48.36678,-67.7996,-25.6652,-19.42864
XOVVEK,-48.44202,-67.8832,-27.79282,-19.44118
XEKDOI,-29.20566,-48.6552,-16.29782,-19.44954
LIXMIQ,-62.03956,-81.5518,-31.68858,-19.50806
LAZLEF,-45.05204,-64.57682,-24.36104,-19.52478
UHIYOB,-44.21604,-63.74082,-24.18548,-19.52478
IXOTAS,-39.07882,-58.6454,-22.80608,-19.56658
ZAVQEU,-44.00286,-63.56944,-23.1154,-19.57076
OGAGEJ,-27.9642,-47.5475,-19.1653,-19.5833
ZIBGIC,-24.44882,-44.09064,-12.79498,-19.64182
POCRAB,-41.21898,-60.86498,-18.37528,-19.646
ADODOO,-37.53222,-57.19076,-19.73796,-19.65854
AHOZAA,-41.90868,-61.60484,-18.75566,-19.69616
XILDUT,-36.65442,-56.36312,-19.90516,-19.7087
ETEMIB,-41.56174,-61.27462,-19.82992,-19.71288
CUXFUX,-41.43216,-61.1534,-20.54888,-19.72124
WOLMUG,-37.00136,-56.73932,-20.03892,-19.73796
MIFGEP,-43.38422,-63.14308,-26.69766,-19.75886
QAQSAD,-44.69256,-64.46396,-28.842,-19.77558
VUKTEC,-38.665,-58.45312,-22.43824,-19.78812
YOQYEK,-62.15242,-81.94054,-40.90548,-19.78812
ICIZOL,-41.34856,-61.15758,-24.82502,-19.80902
LEGGOU,-40.4206,-60.2338,-21.57716,-19.8132
ATEXII,-38.53542,-58.34862,-21.74854,-19.8132
LUMZUO,-35.7599,-55.58982,-14.47116,-19.82992
BIBMEG,-37.84572,-57.70908,-22.05786,-19.86336
YEDKOI,-48.40022,-68.2803,-34.68564,-19.88008
FANPAO,-38.68172,-58.56598,-19.15694,-19.88426
NUYWEK,-45.49512,-65.3961,-24.6202,-19.8968
MOVFOU,-40.3161,-60.21708,-20.37332,-19.90098
DIBXIX,-47.76486,-67.6742,-25.39768,-19.90516
HIZQEN01,-57.19076,-77.09592,-36.09848,-19.90516
VEGXOW,-45.2903,-65.21636,-22.77682,-19.92606
JUZSEE,-36.4705,-56.41328,-22.54692,-19.94278
PEPXIS,-6.01084,-25.9578,17.52256,-19.94278
REYCOP,-41.88778,-61.84728,-22.2376,-19.9595
KUQXIE,-63.58616,-83.54984,-44.17006,-19.96368
KOXFUA,-38.69426,-58.67466,-22.42988,-19.9804
ADABUE,-26.73946,-46.72822,-15.97178,-19.98876
RASKIH,-64.97392,-84.96686,-38.15504,-19.99294
XORQAY,-38.0171,-58.0184,-20.80386,-20.0013
JEJKIT,-33.19338,-53.21558,-19.10678,-20.0222
YUXXOG,-45.94656,-65.98966,-26.1668,-20.04728
IYUREA,-33.01364,-53.09018,-17.0126,-20.07654
LIXNIP,-41.74148,-61.81802,-14.60074,-20.07654
WISTID,-39.46338,-59.53992,-25.53144,-20.07654
ZISFEO01,-43.5974,-63.69484,-22.16236,-20.09744
TARWEO,-34.91972,-55.05478,-16.4274,-20.13506
NUVYIN,-45.84206,-65.98966,-22.26686,-20.1476
XALVOY,-41.5074,-61.66754,-18.83508,-20.16014
TISNEQ,-41.11448,-61.28298,-20.04728,-20.1685
BIHMUC,-40.7759,-60.9862,-20.61576,-20.2103
CUNXIS,-87.93884,-108.1575,-104.54598,-20.21866
NACVUI,-37.50296,-57.74252,-18.7264,-20.23956
CISMEY01,-52.1873,-72.4394,-24.34014,-20.2521
ZILBED,-40.14472,-60.40936,-20.31062,-20.26464
PUGFII,-50.3063,-70.58348,-25.80732,-20.28136
VULKIX,-58.40714,-78.71358,-24.05172,-20.30644
DIYWIT,-46.70732,-67.01794,-23.93468,-20.31062
YUJNIB,-47.22982,-67.55298,-24.38612,-20.32316
UDIDAO,-42.77394,-63.10964,-22.89386,-20.3357
HARNAR,-39.56788,-59.90776,-21.59388,-20.3357
YIJYUN,-33.42746,-53.76734,-18.02416,-20.33988
VOBGAW,-39.76016,-60.10422,-21.42668,-20.34406
HOXKIP,-39.21676,-59.565,-19.96786,-20.35242
ZETQEW,-39.05792,-59.44796,-23.72568,-20.39004
KULMIP,-39.96916,-60.35502,-21.97426,-20.39004
ENUCOG,-38.4142,-58.82514,-20.09326,-20.41094
OQOJUB,-35.6136,-56.0329,-19.17366,-20.4193
MOCJIY,-39.22512,-59.65696,-18.2666,-20.43184
ZADDAJ,-55.86152,-76.32262,-35.45476,-20.4611
KEJBOQ,-41.56592,-62.05628,-22.70994,-20.49036
CUWWOI,-38.3306,-58.8335,-24.15204,-20.5029
WECFAN01,-35.91874,-56.42582,-24.42374,-20.50708
ZIDDIB,-41.90868,-62.43248,-27.41662,-20.5238
UQUHAQ,-42.36848,-62.89646,-23.5334,-20.52798
MIHHIU,-38.61902,-59.147,-22.92312,-20.52798
IHERIY,-40.36626,-60.96948,-20.09744,-20.60322
SABWAU,-20.13924,-40.78008,-6.55424,-20.64084
NUVYOT,-47.95296,-68.62306,-22.26686,-20.6701
HIQNIG,-35.51328,-56.2001,-20.52798,-20.68682
LUPTAS,-46.28932,-66.9845,-22.54692,-20.69518
EBISAM,-37.86244,-58.5827,-25.98706,-20.72026
INAMUG,-35.64704,-56.42582,-21.89484,-20.77878
KEWBUL,-42.17202,-62.98424,-20.14342,-20.81222
FIDMEL01,-40.95564,-61.78458,-27.49604,-20.82894
NAGBUU,-36.19462,-57.03192,-16.64894,-20.8373
BAEDTA01,-42.91188,-63.75754,-25.7488,-20.84566
KAXFUM,-42.15948,-63.02186,-23.36202,-20.8582
OTAVUB,-32.76702,-53.6294,-16.95826,-20.8582
MUFZIY,-37.8708,-58.74572,-21.5897,-20.87492
TIDSEE,-39.76852,-60.64344,-20.4193,-20.87492
JUVROJ,-37.85408,-58.74154,-25.916,-20.88746
BEKYOG,-37.32322,-58.23994,-21.40578,-20.91672
EJORAY,-36.67114,-57.60458,-28.5076,-20.93344
DEPXOM,-34.07536,-55.01298,-17.21324,-20.93344
ALASEN,-42.00064,-62.95498,-22.32538,-20.95434
QAWROW,-47.91534,-68.89894,-28.64136,-20.97942
GASSEB,-36.52066,-57.5168,-19.95532,-20.99614
BASJUB,-33.0429,-54.0474,-18.2875,-21.0045
BUDDIO,-31.9561,-52.96896,-13.37182,-21.01286
VEGXUC,-39.292,-60.35084,-21.18842,-21.05884
GIFFEI,-50.10148,-71.16032,-23.0109,-21.06302
HOJLEY,-35.33772,-56.40074,-21.7151,-21.0672
