MOF ref,CO2 BE kJ/mol,H2O BE kJ/mol,N2 BE kJ/mol,BE(H2O)-BE(CO2)
WODFOL,-38.38912,-36.92612,-23.10704,1.463
TAJWAF01,-30.82332,-29.37704,-22.66396,1.44628
SOMJOV,-30.25484,-28.80856,-16.4692,1.44628
LAXMOP,-38.66082,-37.23126,-22.60126,1.42956
WOBMIL03,-36.65024,-35.2374,-27.9224,1.41284
YADGIW,-29.96642,-28.58702,-17.56436,1.3794
HAWREE,-36.71294,-35.35444,-21.45594,1.36268
XOJWEZ,-36.23642,-34.89464,-21.82378,1.34178
MOLLII,-27.40408,-26.0832,-16.1975,1.32088
RUNXUV,-32.74612,-31.42942,-19.15276,1.32088
IXISAJ,-35.18724,-33.87472,-21.2762,1.31252
DUZWOM,-32.13584,-30.83586,-16.80778,1.29998
PUFXUL,-36.3033,-35.03258,-23.5543,1.27072
XOPJAO,-35.6972,-34.43484,-19.8968,1.26236
XEZPUP,-37.85826,-36.6168,-21.74436,1.24146
OSIWOD01,-32.94676,-31.7471,-19.91352,1.19548
PIDNOH,-37.48624,-36.3033,-20.99196,1.17876
EDADIX,-36.49976,-35.33772,-21.33054,1.16204
WIWKIX,-40.96818,-39.86884,-21.09228,1.09934
RIDGIW,-35.22904,-34.13388,-18.1203,1.09516
PEPKUR,-38.44764,-37.39428,-23.25752,1.05336
HENYUV,-36.59172,-35.55508,-20.93344,1.03664
PARPII,-45.02696,-43.99868,-16.00104,1.02828
SOBZOY,-23.00672,-21.99516,-13.27568,1.01156
LIWXOG,-31.04068,-30.02912,-17.99908,1.01156
UHOHEG,-32.6249,-31.63424,-19.3743,0.99066
NEYZAU,-48.26228,-47.27162,-20.5865,0.98648
KEQZAJ,-39.84794,-38.88654,-23.4916,0.9614
YUVSUE,-35.0284,-34.067,-18.392,0.9614
YIWBEN,-38.61902,-37.65762,-21.67748,0.95722
JUFBIX,-41.64534,-40.69648,-22.52184,0.94886
PORVUO,-38.89072,-37.9544,-22.23342,0.93632
REGJIW01,-47.45972,-46.53176,-24.31088,0.92796
PIZROH,-37.9544,-37.06406,-20.3357,0.89452
IDUDIW,-39.7727,-38.90744,-24.64528,0.86526
KAVTEI,-34.1715,-33.3982,-18.9563,0.7733
QOFKUT,-41.1939,-40.4206,-23.9723,0.7733
YOVNUU,-39.17914,-38.43928,-21.10482,0.73986
ATOXEN,-33.44418,-32.7294,-21.3389,0.7106
SOVHOA,-33.1892,-32.4786,-18.81418,0.7106
SOSSEA,-43.83148,-43.12506,-24.37776,0.70642
LUFNEG,-39.07046,-38.36822,-24.14368,0.70224
QOKCID,-39.8145,-39.12898,-20.53216,0.68552
USOXIL,-47.025,-46.3562,-26.32982,0.6688
BERGAI,-33.3564,-32.70432,-20.09744,0.65208
LEWVAL,-44.6842,-44.08228,-31.81398,0.6061
KULRIT,-54.40688,-53.80496,-34.18822,0.60192
EBOBUV,-31.32074,-30.7648,-18.07014,0.55594
KEXFAU,-35.16634,-34.62712,-21.76944,0.53922
BUBJUF,-36.68368,-36.157,-19.88844,0.52668
DIBWUH,-31.63424,-31.10756,-18.30422,0.52668
