,filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites,Extension,FSR_overlap,from_CSD,public,DISORDER,CSD_overlap_inCoRE,CSD_of_WoS_inCoRE,CSD_overlap_inCCDC,date_CSD,DOI_public,Note,Matched_CSD_of_CoRE,Possible_List_CSD_of_CoRE,,,,,,,,,,,,,,
251,AMOFAK_clean,8.38842,6.72694,8.33928,0.577283,2917.64,5054.09,0,0,0.7804,1.35185,0,Eu,Yes,Eu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
252,AMOYOR_clean,4.82905,4.48972,4.82035,1.16972,759.125,648.979,0,0,0.4596,0.392914,0,Zn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
254,AMUCOB_clean,4.03891,3.31743,4.03891,1.59335,139.729,87.695,0,0,0.3372,0.21163,0,Ca,No, ,clean,Y,Y,N,,N,,,,,,,,,,,,,,,,,,,,,
255,AMUFAR_clean,4.38732,2.9867,4.29143,1.41757,0,0,601.613,424.399,0.4486,0.316458,0,Co,Yes,Co,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
256,AMUFEV_clean,3.97307,3.18062,3.97307,1.5412,0,0,402.245,260.994,0.4268,0.276926,0,Co,Yes,Co,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
257,AMUFIZ_clean,3.98894,3.09876,3.95983,1.58987,0,0,285.405,179.515,0.4036,0.253857,0,Co,Yes,Co,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
258,AMUFOF_clean,5.11388,4.36379,5.09892,1.34461,989.368,735.801,0,0,0.4928,0.366499,0,Co,Yes,Co,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
260,AMUPOP_clean,4.74814,3.78436,4.74702,1.30283,544.632,418.038,0,0,0.4486,0.344328,0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
262,AMUWUB_clean,10.40349,8.69532,10.40349,0.914151,1431.03,1565.42,0,0,0.6498,0.710823,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
263,AMUXAI_clean,8.64297,7.79614,8.57936,1.02442,1402.26,1368.83,0.421846,0.411789,0.5964,0.582182,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
264,ANAWIX_clean,5.45667,5.01969,5.45432,1.52823,1486.52,972.705,0,0,0.5628,0.368269,0,In,Yes,In,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
265,ANAWOD_clean,6.92762,6.10595,6.92762,1.43826,1562.19,1086.17,0,0,0.5924,0.411885,0,In,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
266,ANEHEI_clean,6.80985,3.50032,6.5431,1.23995,1316.98,1062.12,0,0,0.5484,0.442274,0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
270,ANIDIL_clean,5.09322,4.44244,5.09322,1.49981,585.282,390.237,0,0,0.4068,0.271234,0,Co,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
271,ANOMOG_clean,12.8003,5.50166,12.79961,0.784559,2116.78,2698.05,0,0,0.7198,0.917458,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
272,ANOMUM_clean,7.28969,4.98752,7.24267,0.833729,2493.01,2990.19,0,0,0.6952,0.833844,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
274,ANUGEW_clean,14.4419,10.2051,14.4419,0.443469,2088.1,4708.57,0,0,0.8326,1.87747,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
275,ANUGIA_clean,13.85309,6.75838,13.85309,0.567973,2306.32,4060.62,0,0,0.7948,1.39936,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
276,ANUGOG_clean,11.39005,7.08849,11.39005,0.58467,2472.03,4228.07,0,0,0.7898,1.35085,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
277,ANUGUM_clean,8.23346,6.98845,8.23346,0.68036,2467.78,3627.17,0,0,0.7386,1.0856,0,Zn,Yes,Zn,clean,Y,Y,N,,N,,,,,,,,,,,,,,,,,,,,,
278,APACAX_clean,5.65344,4.07573,5.64183,1.00727,1776.16,1763.34,0.75218,0.746751,0.6264,0.621879,0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
280,APARAM_clean,12.00094,11.06312,12.00094,0.965457,1025.27,1061.95,99.7383,103.307,0.6016,0.623124,0,Mn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
281,APAYIB_clean,5.96805,4.21212,5.96805,1.10941,2139.9,1928.86,0,0,0.6164,0.555611,0,Eu,Yes,Eu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
282,APAYOH_clean,6.13125,4.32559,6.13125,1.11146,2186.88,1967.56,0,0,0.6078,0.546846,0,Tb,Yes,Tb,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
283,APAYUN_clean,6.02417,4.10555,6.02138,1.04671,2066.79,1974.55,0,0,0.6206,0.592904,0,La,Yes,La,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
284,APAZAU_clean,6.57194,4.51844,6.57194,0.970314,2263.88,2333.14,0,0,0.6264,0.645564,0,Eu,Yes,Eu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
285,APAZEY_clean,6.61049,4.70522,6.61049,0.97171,2250.82,2316.35,0,0,0.6362,0.654722,0,Tb,Yes,Tb,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
286,APAZIC_clean,7.1095,4.86225,7.1095,0.893607,2183.36,2443.31,0,0,0.6554,0.733432,0,La,Yes,La,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
287,APAZOI_clean,6.38612,4.28228,6.36726,1.14648,2047.77,1786.13,0,0,0.6026,0.525607,0,La,Yes,La,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
290,APEBII_clean,10.32114,3.69719,10.3209,1.22342,1765.75,1443.28,0,0,0.6248,0.510698,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
291,APEBOO_clean,10.56651,4.16012,10.56651,1.24771,1971.26,1579.91,0,0,0.6524,0.52288,0,Zn,Yes,Zn,clean,Y,Y,Y,DISORDER,N,,,,,,,,,,,,,,,,,,,,,
294,APUPEH_clean,24.7893,14.09199,24.7893,0.298214,1535.12,5147.71,0,0,0.8874,2.97572,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
296,AQAJEI_clean,6.90366,2.45763,6.89498,1.10723,0,0,1120.37,1011.87,0.5492,0.496013,0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
299,AQEFOS_clean,8.68225,2.76851,8.68064,1.96074,0,0,799.798,407.907,0.5044,0.25725,0,"Mo,Cu",Yes,"Mo,Cu",clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
301,AQEGUY_clean,5.54395,4.66139,5.49926,1.46355,1275.66,871.62,0,0,0.5148,0.351747,0,Ba,Yes,Ba,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
302,AQEQES_clean,5.6853,5.37606,5.64875,1.07587,1742.46,1619.58,0,0,0.6052,0.56252,0,Co,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
303,AQEQIW_clean,6.30636,5.13016,6.19765,1.10057,1724.95,1567.33,0,0,0.6202,0.563526,0,Zn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
304,AQERUL_clean,5.19905,3.7128,5.19898,1.6479,850.334,516.012,0,0,0.4402,0.267129,0,Co,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
306,AQETUM_clean,5.11237,2.99898,5.10768,1.43617,0,0,779.861,543.013,0.508,0.353718,0,"Nb,Mn",Yes,Mn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
